-0.44	31.24		-0.34	33.59		-100.00	-1.00
-0.18	63.33		-0.88	30.35		-100.00	-1.00
-0.12	35.25		0.94	25.19		-100.00	-1.00
0.00	47.41		-100.00	-1.00		-100.00	-1.00
0.00	37.46		-100.00	-1.00		-100.00	-1.00
-0.22	32.54		-0.86	26.21		-100.00	-1.00
0.48	288.27		0.90	25.89		-100.00	-1.00
0.48	223.51		-0.96	27.95		-100.00	-1.00
0.48	205.85		1.00	27.88		-100.00	-1.00
0.48	183.25		0.92	34.47		-100.00	-1.00
0.48	171.99		0.92	30.60		-100.00	-1.00
0.48	171.10		0.36	27.78		-100.00	-1.00
0.48	171.10		0.36	27.78		-100.00	-1.00
0.48	171.10		0.36	27.78		-100.00	-1.00
0.48	171.10		0.36	27.78		-100.00	-1.00
0.32	360.98		0.22	31.24		-100.00	-1.00
0.32	355.73		0.36	31.75		-100.00	-1.00
0.32	326.22		0.36	27.24		-100.00	-1.00
-0.82	775.85		0.22	30.84		-100.00	-1.00
-0.82	744.29		0.36	26.92		-100.00	-1.00
-0.82	682.76		-0.94	26.46		-100.00	-1.00
0.86	2318.08		0.00	25.34		-100.00	-1.00
0.86	2217.99		0.00	27.81		-100.00	-1.00
0.86	2135.48		0.12	27.36		-100.00	-1.00
0.86	2083.50		-0.02	29.15		-100.00	-1.00
0.86	2012.46		0.18	27.84		-100.00	-1.00
0.86	1880.53		0.58	27.50		-1.00	26.13
0.86	1814.35		0.10	27.43		-100.00	-1.00
0.86	1754.75		-0.56	26.17		-100.00	-1.00
0.86	1695.88		0.10	28.86		-100.00	-1.00
0.86	1633.33		0.38	31.54		-100.00	-1.00
0.86	1598.33		0.38	28.69		-100.00	-1.00
0.86	1562.20		0.36	26.14		-100.00	-1.00
0.86	1536.49		0.38	31.59		-100.00	-1.00
0.00	0.00		0.00	0.00		0.00	0.00
0.00	0.00		0.00	0.00		0.00	0.00
0.00	0.00		0.00	0.00		0.00	0.00
0.00	0.00		0.00	0.00		0.00	0.00
0.00	0.00		0.00	0.00		0.00	0.00
